,Product ID,Name,Manufacturer,Case/Package,Price
RN55E1002FRE6,RN55E1002FRE6,RES 10K OHM 1/8W 1% AXIAL,Vishay Dale,Axial,₹ 77.57000
B12J10KE,B12J10KE,RES 10K OHM 5% 12W AXIAL,Ohmite,Axial,₹ 524.19000
RLR07C1002FRB14,RLR07C1002FRB14,RES 10K OHM 1% 1/4W AXIAL,Vishay Dale,Axial,₹ 253.93000
RLR05C1002GRB14,RLR05C1002GRB14,RES 10K OHM 2% 1/8W AXIAL,Vishay Dale,Axial,₹ 386.20000
RSMF1JT10K0,RSMF1JT10K0,RES 10K OHM 5% 1W AXIAL,Stackpole Electronics Inc,Axial,₹ 17.96000
RSF1JT10K0,RSF1JT10K0,RES 10K OHM 5% 1W AXIAL,Stackpole Electronics Inc,Axial,₹ 21.23000
SQMR510KJ,SQMR510KJ,RES 10K OHM 5% 5W RADIAL,TE Connectivity Passive Product,Radial,₹ 62.05000
RLR07C1002GSB14,RLR07C1002GSB14,RES 10K OHM 2% 1/4W AXIAL,Vishay Dale,Axial,₹ 249.03000
MOX70031002BYE,MOX70031002BYE,RES 10K OHM 0.1% 1/4W AXIAL,Ohmite,Axial,₹ 155.95000
RSMF3JT10K0,RSMF3JT10K0,RES 10K OHM 5% 3W AXIAL,Stackpole Electronics Inc,Axial,₹ 33.48000
